lon,lat,owner,watershed,type,form
-71.11078085200,42.41862739960,,IN-1106,STORM WATER INLET,
-71.11054361230,42.41899527530,,IN-1104,STORM WATER INLET,
-71.11027666700,42.41931584400,,IN-1102,STORM WATER INLET,
-71.11035151580,42.41952304270,,IN-1101,STORM WATER INLET,
-71.10976885960,42.42079420030,,IN-1098,STORM WATER INLET,
-71.09505166200,42.41474808430,,IN-2056,STORM WATER INLET,
-71.09533103120,42.41479717930,,IN-2054,STORM WATER INLET,
-71.09517252190,42.41483581100,,IN-2055,STORM WATER INLET,
-71.09709249560,42.41510460170,,IN-2050,STORM WATER INLET,
-71.09706867570,42.41516643130,,IN-2051,STORM WATER INLET,
-71.10142000670,42.39741209830,,IN-4206,STORM WATER INLET,
-71.07871032710,42.40471020500,,IN-2314,STORM WATER INLET,
-71.07881440210,42.40472790730,,IN-2315,STORM WATER INLET,
-71.07832355060,42.40577835430,,IN-2318,STORM WATER INLET,
-71.07843195320,42.40577892610,,IN-2319,STORM WATER INLET,
-71.07808064180,42.40644409780,,IN-2321,STORM WATER INLET,
-71.07818598290,42.40646944420,,IN-2320,STORM WATER INLET,
-71.11191039350,42.43020802610,,IN-4669,STORM WATER INLET,
-71.11186657270,42.43027232080,,IN-4670,STORM WATER INLET,
-71.11231935750,42.43034345890,,IN-71,STORM WATER INLET,
-71.11230295250,42.43041282550,,IN-70,STORM WATER INLET,
-71.11326926530,42.43090748910,,IN-68,STORM WATER INLET,
-71.11318368720,42.43090929200,,IN-69,STORM WATER INLET,
-71.11352156970,42.40113715330,,IN-4297,STORM WATER INLET,
-71.11344820850,42.40117184590,,IN-4298,STORM WATER INLET,
-71.11397750000,42.40174722440,,IN-4296,STORM WATER INLET,
-71.11390205370,42.40178553740,,IN-4295,STORM WATER INLET,
-71.11439188330,42.40230216980,,IN-4294,STORM WATER INLET,
-71.11432882720,42.40235215620,,IN-4293,STORM WATER INLET,
-71.10058439790,42.42406147690,,IN-1695,STORM WATER INLET,
-71.10059540430,42.42412536700,,IN-1694,STORM WATER INLET,
-71.09990860050,42.42414686120,,IN-1693,STORM WATER INLET,
-71.11883675710,42.41064209230,,IN-2830,STORM WATER INLET,
-71.11870271430,42.41069612940,,IN-2832,STORM WATER INLET,
-71.11872863510,42.41081131570,,IN-2831,STORM WATER INLET,
-71.11765389130,42.41246819910,,IN-2430,STORM WATER INLET,
-71.11715259290,42.41305921980,,IN-2766,STORM WATER INLET,
-71.11724556130,42.41308291190,,IN-2767,STORM WATER INLET,
-71.11683592390,42.41366505760,,IN-2769,STORM WATER INLET,
-71.11673789700,42.41368785400,,IN-2768,STORM WATER INLET,
-71.11600277420,42.41479764010,,IN-2770,STORM WATER INLET,
-71.11606281880,42.41482763230,,IN-2771,STORM WATER INLET,
-71.11560836830,42.41539356050,,IN-2719,STORM WATER INLET,
-71.11567846450,42.41541439100,,IN-2720,STORM WATER INLET,
-71.11043766870,42.41900564720,,IN-1103,STORM WATER INLET,
-71.10963229390,42.41162609960,,IN-3988,STORM WATER INLET,
-71.10965049540,42.41168610350,,IN-3989,STORM WATER INLET,
