OBJECTID,Facility ID,Install Date,Inlet Type,Access Diameter,Invert Elevation,Access Material,Access Type,Enabled,Active Flag,Owned By,Managed By,Last Update Date,Last Editor,AncillaryRole,DrainArea,StreetName,GlobalID,x,y
428,11-cb-1395,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,11, ,b23355ab-2021-48ee-959a-1d4c39cd14b0,-71.1856704676799,42.3655885032102
429,11-cb-1396,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,11, ,9b972d7e-4daf-469b-9d74-81f1d528e501,-71.185704939611,42.3654489652525
430,1-cb-1400,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,1,WHITMAN ROAD,e0f70036-3e51-4beb-93ff-b49dd1ff9f1e,-71.207651083636,42.374610996904
431,1-cb-1401,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,1,WHITMAN ROAD,b023007c-b69d-4630-9d9b-0cee7ca70803,-71.2075672679288,42.3745985562554
432,6-cb-1402,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,PARTRIDGE STREET,dac1421d-6068-4022-85b6-e3532583cab2,-71.2054471412604,42.3736526669233
433,6-cb-1404,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,MAIN STREET,5e52f1e5-9a78-4236-8cf2-b4ca35a44a5e,-71.205312751558,42.3736117650733
434,6-cb-1406,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,MAIN STREET,4420c6b6-1b14-4c97-a871-b5d02218c632,-71.2046087430882,42.3735352154136
435,6-cb-1407,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,GLEASON STREET,763d7fc4-6653-4297-974b-cdb3fc3a8e69,-71.204530141669,42.3735893329096
436,6-cb-1408,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,MAIN STREET,a9f81084-f085-4d08-8cbb-6547807e8def,-71.204391105611,42.373515543382
437,6-cb-1409,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,RUTLAND STREET,ee180d3a-5b77-4e35-a134-78ba61af6d8d,-71.2044781544092,42.3733885735273
438,6-cb-1410,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,MAIN STREET,5b14b88c-5ead-42ff-b514-f6936545860e,-71.2040818877645,42.3734771949336
439,6-cb-1413,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,MAIN STREET,5bde1923-dbb5-4e12-ba64-c838bd8a3d32,-71.2034244303223,42.3734281623135
440,6-cb-1415,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,MAIN STREET,9c075aa9-a013-4cc8-af27-b3b5fd9e4f04,-71.2036804252645,42.3733238897509
441,6-cb-1416,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,MAIN STREET,1a1e1c77-0af6-438e-b8e7-fb602db53258,-71.2027707067269,42.3731824097348
442,6-cb-1418,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,MAIN STREET,8e8958d9-4207-4616-9aa4-847ab17f6160,-71.2028084264058,42.3733339218834
443,6-cb-1419,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,MAIN STREET,17e074e0-3695-40df-ac09-798f9f868321,-71.2026327637411,42.3732907135712
444,6-cb-1421,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,MAIN STREET,df5c5e42-a667-4059-bc40-a88746476b75,-71.2018066130083,42.3730828616167
445,6-cb-1422,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,HERSOM STREET,281c18d2-e40e-465f-b9e5-b640a8a9e7ad,-71.2011654647672,42.3728948576074
446,6-cb-1424,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,6,MAIN STREET,79ecd669-3f9b-40c5-81d1-b54974ef1608,-71.201021290855,42.3728293206184
447,8-cb-1426,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,MAIN STREET,2acb2864-fa4c-414d-a19d-3b5c9666d167,-71.1995454001598,42.3721013167131
448,8-cb-1427,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,MAIN STREET,1cd70321-a6c2-46cd-898d-41e54c0108d6,-71.1993294499767,42.3720284229449
449,8-cb-1429,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,GILBERT STREET,f087e6f8-e6ff-493f-89f0-8d6586160c97,-71.1988294586784,42.3718962311417
450,8-cb-1430,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,MAIN STREET,64042ec7-fa09-4053-921d-87d7f8087dcb,-71.1986876167454,42.3718661584995
451,8-cb-1432,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,MAIN STREET,3d4ac646-9bbb-4932-ae0a-04bcbd953ff5,-71.1979959382855,42.3715620372588
452,8-cb-1435,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,MAIN STREET,037bc721-dd06-496d-9275-5eea6edce368,-71.1979873583273,42.3717076776121
453,8-cb-1436,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,PRESCOTT STREET,d90c81f6-8391-44ad-a7d7-ec37407c9851,-71.1977927474793,42.3716776444634
454,8-cb-1437,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,MAIN STREET,502ab1a7-0351-4c88-9fa1-e9bb1ae048de,-71.1971245761287,42.3713879193969
455,8-cb-1438,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,PURVIS STREET,0d4bee7c-3410-46a5-9d2c-57cd47cf1640,-71.1970984522376,42.3715161299601
456,8-cb-1439,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,MAIN STREET,7c4db4d9-059a-4b1d-adfc-8b0827fe4071,-71.1969484338136,42.3714915964768
457,8-cb-1441,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,MAIN STREET,ca2b0906-4b8b-41bb-9e5e-41be14903b53,-71.196279005311,42.3712112846087
458,8-cb-1443,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,MAIN STREET,175e7e99-c5c6-4474-aa89-781fec35a76c,-71.1962743012987,42.3713453934769
459,8-cb-1444,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,8,MAIN STREET,683f0881-c195-4884-bdea-eb1cb6d4cd04,-71.1960677529057,42.37129864636
