FID,OBJECTID,ANCILLARYR,ENABLED,SUBTYPEFIE,FACILITYID,SYMBOLROTA,LIFECYCLES,WATERTYPE,INSTALLDAT,SURFACEELE,LASTEDITOR,LASTEDITDA,COMMENTS,OWNER,ARCFMID,HISTORICAL,FRAMEMATER,ACCESSMATE,WALLMATERI,GRATETYPE,DEPTH,INVERTELEV,ADDRESS,COATINGTYP,HOODED,CURBINLET,NORMENABLE,SOURCE1,LastCleanD,DEEP,x,y
181,1279,0,1,1,D22CBN4506,10,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/6/10 0:00, ,CDPW,SCB000005372, , , , ,D,0,999,26 MAGNOLIA AVE,UNK,0,0,0, ,4/29/10 0:00, ,-71.10730793,42.37686903
182,1281,0,1,1,D22CBN4402,74,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00,RESET,CDPW,SCB000005380, , , , ,D,0,999,90 KIRKLAND ST AT MYRTLE AVE,UNK,1,0,0, ,8/25/11 0:00,Y,-71.10769844,42.37793987
183,1282,0,1,1,D22CBN2069,74,IS,STORM,9/13/04 0:00,999,GTS,10/26/11 0:00, ,CDPW, , , , , ,F,0,999,KIRKLAND ST AT FRANCIS AVE,UNK,0,1,0, ,9/19/11 0:00,Y,-71.11168041,42.37720699
187,1286,0,1,3,D22CBN3306,10,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005401, ,STL,STL, ,OTH,0,999,ACROSS FROM 24 IRVING ST,UNK,1,0,0, ,8/22/11 0:00, ,-71.11100122,42.37563989
188,1287,0,1,1,D22CBN2070,74,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005402, , , , ,D,0,999,KIRKLAND AT KIRKLAND RD,UNK,1,1,0, ,10/18/11 0:00,Y,-71.1115405,42.37712488
204,1312,0,1,1,D41CBN2544,0,IS,STORM,1/1/1753 12:00:00 AM,999, ,, ,CDPW,SCB000005139, , , , ,BM,0,999,BACK RIGHT OF 6 MCLEAN PL,UNK,0,0,0, ,, ,-71.13158145,42.394984
205,1313,0,1,1,D41CBN2543,0,IS,STORM,1/1/1753 12:00:00 AM,999, ,, ,CDPW,SCB000005140, , , , ,F,0,999,LEFT OF 6 MCLEAN PL,UNK,0,0,0, ,, ,-71.13120932,42.39519479
206,1314,0,1,1,D41CBN2541,0,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,12/13/10 0:00, ,CDPW,SCB000005141, , , , ,F,0,999,43 CEDAR ST,UNK,1,0,0, ,11/17/10 0:00, ,-71.13090596,42.39515952
207,1316,0,1,1,D22CBN3202,74,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005342, , , , ,D,0,999,FRANCIS AVE AND BRYANT,UNK,1,1,0, ,10/18/11 0:00,Y,-71.11223967,42.3795187
208,1318,0,1,1,D22CBN2908,80,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005344, , , , ,D,0,999,ACROSS FROM 109 IRVING ST,UNK,1,1,0, ,6/20/11 0:00,Y,-71.11113907,42.37947588
213,1332,0,1,1,D24CBN2026,23,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/5/10 0:00, ,CDPW,SCB000004321, , , , ,D,0,999, ,UNK,0,0,0, ,9/2/10 0:00, ,-71.11885372,42.37301403
214,1333,0,1,1,D24CBN2018,28,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/27/11 0:00, ,CDPW,SCB000004322, , , , ,D,0,999, ,UNK,1,0,0, ,7/14/11 0:00,Y,-71.11920629,42.37261387
218,1337,0,1,1,D22CBN7702,5,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000004341, , , , ,D,0,999, ,UNK,1,0,0, ,9/20/11 0:00,Y,-71.1176408,42.38670771
220,1344,0,1,1,D22CBN4902,4,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000004371, , , , ,D,0,999, ,UNK,1,0,0, ,10/18/11 0:00,Y,-71.11662961,42.37979616
221,1346,0,1,1,D22CBN4706,74,IS,STORM,2/20/04 0:00,999,GTS,5/12/08 0:00, ,CDPW,SCB000004374, , , , ,F,0,999, ,UNK,0,0,0,REMEDIAL 2004,, ,-71.11656044,42.37872711
223,1352,0,1,1,D22CBN5505,0,IS,STORM,3/10/04 0:00,999,GTS,10/26/11 0:00, ,CDPW,SCB000005308, , , , ,F,0,999,39 HAMMOND,UNK,1,1,0,REMEDIAL 2004,8/20/11 0:00,Y,-71.11468725,42.38081595
224,1356,0,1,1,D29CBN1991,80,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,3/1/10 0:00, ,CDPW,SCB000004442, , , , ,D,0,999,1853 MASS AVE.,UNK,0,0,0, ,9/9/09 0:00, ,-71.11914716,42.38773761
225,1361,0,1,1,D40CBN4006,0,IS,STORM,7/26/04 0:00,999,GTS,5/12/08 0:00, ,CDPW,SCB000004678, , , , ,F,0,999,WITTEMORE ACRSS 58 MADISON AVE,UNK,0,1,0,REMEDIAL 2004,8/13/08 0:00, ,-71.13623088,42.39854137
238,1377,0,1,1,D10CBN0620,56,IS,STORM,1/1/1753 12:00:00 AM,999,MWH,5/2/02 0:00, ,CDPW,SCB000002061, , , , ,D,0,999,219 VASSAR,UNK,0,0,0, ,, ,-71.10023411,42.35745157
240,1383,0,1,1,D22CBN2021,74,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005385, , , , ,D,0,999,KIRKLAND ST AT TROWBRIDGE,UNK,1,0,0, ,8/25/11 0:00,Y,-71.10943169,42.37767891
