OBJECTID,FEATURE_TY,SOURCE,TYPE,X_COORD,Y_COORD,EDITDATE,EDITBY,EDITWHY,BMPNOTES,StrucIDnum,PublicOwne,DudeID,Longitude,Latitude
"333",CBN,,CBN,744413.625000000000000,3003456.750000000000000,,,,,"310",yes,DStr310,-71.17281600,42.48918880
"334",CBN,,CBN,744397.125000000000000,3005321.000000000000000,,,,,"311",yes,DStr311,-71.17285070,42.49430440
"336",CBN,,CBN,744374.687500000000000,3005346.500000000000000,,,,,"313",yes,DStr313,-71.17293350,42.49437461
"338",CBN,,CBN,744371.875000000000000,3005298.250000000000000,,,,,"315",yes,DStr315,-71.17294460,42.49424224
"339",CBN,,CBN,744350.000000000116415,3005327.500000000000000,,,,,"316",yes,DStr316,-71.17302530,42.49432273
"340",CBN,,CBN,744345.625000000000000,3005661.000000000000000,,,,,"317",yes,DStr317,-71.17303680,42.49523789
"341",CBN,,CBN,744321.937500000000000,3003952.000000000000000,,,,,"318",yes,DStr318,-71.17314420,42.49053584
"342",CBN,,CBN,744307.062500000000000,3005812.750000000000000,,,,,"319",yes,DStr319,-71.17317760,42.49565469
"345",CBN,,CBN,744299.812500000000000,3003926.000000000000000,,,,,"322",yes,DStr322,-71.17322540,42.49046383
"346",CBN,,CBN,744291.125000000000000,3003978.250000000000000,,,,,"323",yes,DStr323,-71.17326060,42.49060825
"348",CBN,,CBN,744276.437500000000000,3005818.750000000000000,,,,,"325",yes,DStr325,-71.17329110,42.49567147
"350",CBN,,CBN,744268.937500000000000,3003952.250000000000000,,,,,"327",yes,DStr327,-71.17334470,42.49053417
"351",CBN,,CBN,744260.375000000000000,3004901.250000000000000,,,,,"329",yes,DStr329,-71.17336370,42.49315406
"352",CBN,,CBN,744258.312500000116415,3004935.250000000000000,,,,,"330",yes,DStr330,-71.17337090,42.49324738
"353",CBN,,CBN,744255.687500000000000,3003412.750000000000000,,,,,"331",yes,DStr331,-71.17340220,42.48906973
"354",CBN,,CBN,744254.125000000000000,3003375.000000000000000,,,,,"332",yes,DStr332,-71.17340850,42.48896616
"355",CBN,,CBN,744252.875000000000000,3003380.500000000000000,,,,,"333",yes,DStr333,-71.17341310,42.48898127
"356",CBN,,CBN,744233.250000000000000,3005513.750000000000000,,,,,"334",yes,DStr334,-71.17345560,42.49483502
"359",CBN,,CBN,744210.312500000116415,3005494.749999999534339,,,,,"337",yes,DStr337,-71.17354090,42.49478313
"360",CBN,,CBN,744205.500000000000000,3009749.499999999534339,,,,,"338",yes,DStr338,-71.17349830,42.50645799
"361",CBN,,CBN,744203.437500000000000,3005529.750000000000000,,,,,"339",yes,DStr339,-71.17356590,42.49487924
"362",CBN,,CBN,744200.250000000000000,3009781.250000000000000,,,,,"340",yes,DStr340,-71.17351740,42.50654516
"365",CBN,,CBN,744192.750000000000000,3002382.750000000000000,,,,,"343",yes,DStr343,-71.17365020,42.48624411
"368",CBN,,CBN,744183.750000000000000,3004566.000000000000000,,,,,"346",yes,DStr346,-71.17365260,42.49223496
"369",CBN,,CBN,744169.937500000000000,3009751.000000000000000,,,,,"347",yes,DStr347,-71.17363020,42.50646248
"370",CBN,,CBN,744162.125000000000000,3002372.000000000000000,,,,,"348",yes,DStr348,-71.17376380,42.48621494
"371",CBN,,CBN,744156.812500000000000,3005507.000000000000000,,,,,"349",yes,DStr349,-71.17373910,42.49481730
"373",CBN,,CBN,744145.937500000000000,3004491.750000000465661,,,,,"351",yes,DStr351,-71.17379380,42.49203162
"374",CBN,,CBN,744144.937500000000000,3009771.500000000000000,,,,,"352",yes,DStr352,-71.17372260,42.50651899
"375",CBN,,CBN,744140.312500000000000,3002547.750000000000000,,,,,"353",yes,DStr353,-71.17384220,42.48669742
"376",CBN,,CBN,744138.312500000116415,3005487.750000000000000,,,,,"354",yes,DStr354,-71.17380800,42.49476468
"381",CBN,,CBN,744124.625000000000000,3004519.000000000000000,,,,,"359",yes,DStr359,-71.17387240,42.49210661
"384",CBN,,CBN,744118.562500000000000,3004126.250000000000000,,,,,"362",yes,DStr362,-71.17390050,42.49102899
"385",CBN,,CBN,744118.375000000000000,3002538.500000000465661,,,,,"363",yes,DStr363,-71.17392370,42.48667227
"388",CBN,,CBN,744117.750000000000000,3005094.500000000000000,,,,,"364",yes,DStr364,-71.17388980,42.49368583
"390",CBN,,CBN,744099.187500000000000,3005117.250000000000000,,,,,"366",yes,DStr366,-71.17395830,42.49374845
"391",CBN,,CBN,744099.062500000000000,3004497.750000000000000,,,,,"367",yes,DStr367,-71.17396750,42.49204857
"394",CBN,,CBN,744079.437500000000000,3004114.750000000000000,,,,,"370",yes,DStr370,-71.17404570,42.49099784
"395",CBN,,CBN,744067.687500000000000,3010375.999999999534339,,,,,"371",yes,DStr371,-71.17400050,42.50817851
"397",CBN,,CBN,744048.312500000000000,3005751.250000000000000,,,,,"373",yes,DStr373,-71.17413790,42.49548865
"398",CBN,,CBN,744046.500000000000000,3010387.000000000000000,,,,,"374",yes,DStr374,-71.17407900,42.50820892
"401",CBN,,CBN,744032.500000000000000,3005394.000000000000000,,,,,"377",yes,DStr377,-71.17420160,42.49450854
"403",CBN,,CBN,744024.812500000000000,3005729.500000000000000,,,,,"379",yes,DStr379,-71.17422540,42.49542922
"405",CBN,,CBN,744009.687499999883585,3005763.750000000000000,,,,,"381",yes,DStr381,-71.17428100,42.49552336
"406",CBN,,CBN,744006.125000000000000,3004244.000000000000000,,,,,"382",yes,DStr382,-71.17431570,42.49135327
"408",CBN,,CBN,744004.437500000000000,3004381.250000000000000,,,,,"384",yes,DStr384,-71.17432000,42.49172989
"409",CBN,,CBN,743995.500000000000000,3002853.499999999534339,,,,,"385",yes,DStr385,-71.17437480,42.48753790
"410",CBN,,CBN,743993.625000000000000,3004678.500000000000000,,,,,"386",yes,DStr386,-71.17435590,42.49254565
"411",CBN,,CBN,743990.250000000000000,3004038.250000000000000,,,,,"387",yes,DStr387,-71.17437750,42.49078886
"412",CBN,,CBN,743988.937500000000000,3004404.249999999534339,,,,,"388",yes,DStr388,-71.17437710,42.49179317
"415",CBN,,CBN,743980.187500000000000,3004225.000000000000000,,,,,"391",yes,DStr391,-71.17441210,42.49130140
"419",CBN,,CBN,743973.812500000000000,3002841.500000000000000,,,,,"395",yes,DStr395,-71.17445530,42.48750520
"420",CBN,,CBN,743973.500000000000000,3004704.500000000000000,,,,,"396",yes,DStr396,-71.17443010,42.49261720
"421",CBN,,CBN,743971.875000000000000,3005348.500000000000000,,,,,"397",yes,DStr397,-71.17442700,42.49438433
"422",CBN,,CBN,743968.937500000000000,3004045.500000000000000,,,,,"398",yes,DStr398,-71.17445640,42.49080898
"425",CBN,,CBN,743945.562500000000000,3004682.000000000000000,,,,,"401",yes,DStr401,-71.17453400,42.49255576
"428",CBN,,CBN,743914.625000000116415,3005983.250000000000000,,,,,"404",yes,DStr404,-71.17463030,42.49612665
"431",CBN,,CBN,743909.875000000000000,3010137.250000000465661,,,,,"407",yes,DStr407,-71.17458920,42.50752505
"432",CBN,,CBN,743909.374999999883585,3005958.500000000000000,,,,,"408",yes,DStr408,-71.17465020,42.49605879
"433",CBN,,CBN,743899.500000000000000,3004378.000000000000000,,,,,"409",yes,DStr409,-71.17470910,42.49172208
"435",CBN,,CBN,743896.625000000000000,3010157.000000000000000,,,,,"411",yes,DStr411,-71.17463800,42.50757938
