p_id,p_facility,p_inlettyp,p_in_typ_o,p_locdesc,p_ownedby,p_legacy_i,p_cvtype,p_cv_typ_o,p_cvshape,p_cv_shp_o,p_cvmateri,p_cv_mat_o,p_cvsize,p_oilhood,p_framemat,p_frm_mat_,p_chimney,p_chimydia,p_chimymat,p_chm_mat_,p_conetype,p_con_typ_,p_conemate,p_con_mat_,p_wallmat,p_wal_mat_,p_bench,p_benchmat,p_ben_mat_,p_channel,p_chanmate,p_chn_mat_,p_chanexpo,p_rimelev,p_inv_dept,p_invertel,p_sump_dep,p_fin_dept,p_installd,p_maintby,p_lastupda,p_lastedit,p_plans,p_comments,p_elevatio,p_map_date,p_mapped_b,p_map_by_o,p_map_meth,p_map_met_,p_map_stat,p_rotation,p_conditio,p_flow,p_activefl,p_enabled,p_operable,p_keyjncti,p_anclryro,p_division,p_asset,p_st_cntr_,Longitude,Latitude
67301,CB-6674,Double Catchbasin,,ROBERTSON WAY,City,,,,,,,,,,,,,,,,,,,,Precast Concrete,,,,,,,,,70.95,,,,,1/1/70,City,3/8/22,MSB,,,70.95,1/1/70,,,,,,-32.43588756,,,,,,,,HIGHWAY,Stormwater,6056,-71.16191922,42.47389684
67357,CB-5754,Catchbasin,,None,City,dCB_5877,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.96,4.2,171.76,,,1/1/70,City,3/8/22,MSB,"Shannon Farms Existing Conditions Plan May 3, 2017",,175.96,5/3/17,Alan Engineering,,Survey,,Draft,13.15182204,,,,,,,,HIGHWAY,Stormwater,5212,-71.1859302,42.45755837
67370,CB-5767,Catchbasin,,None,City,dCB_5890,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.7,,,,,1/1/70,City,3/8/22,MSB,,,140.6999969,1/1/70,,,Aerial Photo,,,48.48631113,,,,,,,,HIGHWAY,Stormwater,5208,-71.18114757,42.45929627
67413,CB-5814,Catchbasin,,440 LEXINGTON ST,City,dCB_5937,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.1,,,,,1/1/70,City,3/8/22,MSB,,,167.1000061,1/1/70,,,Aerial Photo,,,49.23971036,,,,,,,,HIGHWAY,Stormwater,6101,-71.18996298,42.45551304
67482,CB-11,Catchbasin,,23 MONTVALE AVE,City,dCB_682,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1/1/70,City,3/8/22,MSB,,,,1/1/70,,,Aerial Photo,,,7.552374485,,,,,,,,HIGHWAY,Stormwater,6561,-71.15093858,42.47911875
67363,CB-5760,Catchbasin,,302 LEXINGTON ST,City,dCB_5883,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.4,3,157.4,2,5,1/1/70,City,3/8/22,MSB,,,160.3999939,1/1/70,,,Aerial Photo,,,-239.2527298,,,,,,,,HIGHWAY,Stormwater,5747,-71.18280436,42.45777474
67700,CB-5294,Catchbasin,,175 CAMBRIDGE RD A,City,dCB_5408,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,1/1/70,City,3/8/22,MSB,,,63,1/1/70,,,Aerial Photo,,,-240.1784072,,,,,,,,HIGHWAY,Stormwater,5301,-71.17922777,42.46873003
67712,CB-5488,Catchbasin,,238 LEXINGTON ST,City,dCB_5611,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,,,,,1/1/70,City,3/8/22,MSB,,,64.80000305,1/1/70,,,Aerial Photo,,,89.62906251,,,,,,,,HIGHWAY,Stormwater,6262,-71.17785701,42.46487118
67581,CB-4523,Catchbasin,,9 SPRING CT,City,dCB_4633,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.3,4,140.3,1,5,1/1/70,City,3/8/22,MSB,,,144.3000031,1/1/70,,,Aerial Photo,,,-167.373181,,,,,,,,HIGHWAY,Stormwater,6333,-71.13885866,42.47691527
67441,CB-5843,Catchbasin,,7 HERITAGE DR,City,dCB_5966,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.7,3,217.7,2,5,1/1/70,City,3/8/22,MSB,,,220.6999969,1/1/70,,,Aerial Photo,,,-239.3156806,,,,,,,,HIGHWAY,Stormwater,5667,-71.17514426,42.45706762
67427,CB-5829,Catchbasin,,9 MINCHIN DR,City,dCB_5952,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,3,199,2,5,1/1/70,City,3/8/22,MSB,,,202,1/1/70,,,Aerial Photo,,,90,,,,,,,,HIGHWAY,Stormwater,6272,-71.18291821,42.45543615
67381,CB-5778,Catchbasin,,14 HERITAGE DR,City,dCB_5901,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.9,4,240.9,3,7,1/1/70,City,3/8/22,MSB,,,244.8999939,1/1/70,,,Aerial Photo,,,-72.25945761,,,,,,,,HIGHWAY,Stormwater,5667,-71.17567615,42.4578973
67644,CB-5159,Catchbasin,,39 SYLVANUS WOOD LN,City,dCB_5273,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.1,3,213.1,1,4,1/1/70,City,3/8/22,MSB,,,216.1000061,1/1/70,,,Aerial Photo,,,30.94795163,,,,,,,,HIGHWAY,Stormwater,6600,-71.18716264,42.47241741
67368,CB-5765,Catchbasin,,6 JANIS TERR,City,dCB_5888,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.3,1,189.3,0,1,1/1/70,City,3/8/22,MSB,,,190.3000031,1/1/70,,,Aerial Photo,,,22.61982754,,,,,,,,HIGHWAY,Stormwater,5543,-71.18095993,42.45858976
67635,CB-5015,Catchbasin,,None,City,dCB_5129,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6,3,59.6,2,5,1/1/70,City,3/8/22,MSB,,,62.59999847,1/1/70,,,Aerial Photo,,,-255.0341046,,,,,,,,HIGHWAY,Stormwater,5744,-71.17373662,42.47887989
67532,CB-1129,Catchbasin,,114 ARLINGTON RD,City,dCB_1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,4,42.9,3,7,1/1/70,City,3/8/22,MSB,,,46.90000152,1/1/70,,,Aerial Photo,,,-246.5014343,,,,,,,,HIGHWAY,Stormwater,5751,-71.15269709,42.46825658
67416,CB-5818,Catchbasin,,12 GRACE RD,City,dCB_5941,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.8,4,208.8,1,5,1/1/70,City,3/8/22,MSB,,,212.8000031,1/1/70,,,Aerial Photo,,,-157.936413,,,,,,,,HIGHWAY,Stormwater,6709,-71.18167638,42.45667586
67692,CB-5266,Catchbasin,,10 BAY ST,City,dCB_5380,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.3,4,243.3,2,6,1/1/70,City,3/8/22,MSB,,,247.3000031,1/1/70,,,Aerial Photo,,,78.88223093,,,,,,,,HIGHWAY,Stormwater,5587,-71.18976351,42.46976606
