X,Y,OBJECTID,Subtype,FacilityID,InstallDat,LifecycleS,WaterType,PlanNum,Owner,Comments,AccessDiam,AccessMate,AccesType,Station,RimElevati,FieldBook,Invert,Plan1,Plan2,Plan3,FeatureID,DupeNum,Source,OrthoUpdated,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Dewb_Edited
-71.1120897448629,42.394718691677,"2922","0",SW-CB-00458,9999/09/09 00:00:00,Active,Storm,TB-028,Somerv, ,"9999",Unk,Unk,"9999",9999, ,9999,TB-028,,,CB-SD-459,"1",Original City Data,Yes,{CD06952D-32DE-451D-AD57-DACC377AF902},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0892452985003,42.3785442030749,"2923",,SW-CB-02220,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{03F5ADE5-C17E-4FBD-B08E-E6E9D2752682},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0800672082524,42.3847150213579,"2924",,SW-CB-01358,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{1C1F1B47-52C1-4159-83D7-B2596F7657BA},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0884075888065,42.3952830015687,"2925",,SW-CB-02110,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{C009D429-5A4B-4A50-A34D-943DFEEC3A07},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,"1"
-71.0851885788513,42.3939826694254,"2926",,SW-CB-03588,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{8E4E90EF-4563-4877-AD26-15E5302AE753},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,"1"
-71.10154226958,42.3783472660283,"2927",,SW-CB-02516,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{2365A759-8FC7-4606-90D0-F71F67A298B1},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0877859089459,42.3948320113104,"2928",,SW-CB-02109,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{7DB2DAEC-9EC5-4B4E-9E52-2851FE80CC6C},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,"1"
-71.1065389494382,42.3796945549748,"2929",,SW-CB-02596,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{836A4A92-7D76-49BF-9179-38151A070FBF},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0838992535617,42.3960936431754,"2930",,SW-CB-01737,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{1B8DC22F-0809-46FE-B0E8-61E0DA32D4D7},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0811408355575,42.3955550303247,"2931",,SW-CB-01795,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{A61AC53D-6ED7-438F-9F20-9D9110C9F2BA},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.123025817776,42.3935073749371,"2932",,SW-CB-02971,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{953279C3-6600-453A-9314-8727152E21AA},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0944880331475,42.3786234802987,"2933",,SW-CB-00652,,,,,,,,,,,,,,,,,,,Stantec,Yes,{42E9A916-FFC9-47BA-AFB8-8C88B215280B},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1118962313697,42.3865319084418,"2934",,SW-CB-00888,,,,,,,,,,,,,,,,,,,Stantec,Yes,{19CA2522-F31C-4814-9F39-FF99C77461F1},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1303769255171,42.4089360736105,"2935",,SW-CB-01990,,,Storm,,,,,,,,,,,,,,,,Weston and Sampson,Yes,{D1D49C8E-13CB-443D-A18F-B51B4E435350},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1169689276496,42.4029080204372,"2936",,SW-CB-03326,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{07419DBB-3912-4E97-9DDD-D69501DCC6CA},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0962261039112,42.3977263403702,"2937",,SW-CB-02032,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{357625A0-FE2C-4AE4-945A-468ED2052FDC},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1021870390893,42.3821173336058,"2938",,SW-CB-01053,,,,,,,,,,,,,,,,,,,Stantec,Yes,{6F888FAC-8DE0-430A-A4BE-24AF4DC16396},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1238331440761,42.3980139650102,"2939",,SW-CB-03021,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{AE2CD771-B50E-42A0-B326-0BC0ED985BC1},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0941278128864,42.3907788373674,"2940","1",SW-CB-00027,1898/04/28 00:00:00,Active,Storm,BB-11,Somerv, ,"0",Unk,Unk,"9999",9999, ,9999,BB-11,,,CB-SD-28,"1",Original City Data,Yes,{67B7C5B8-3A03-44EC-A4C2-797B4C29AF89},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1091022774474,42.3922308168642,"2941",,SW-CB-03529,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{1474E6D4-5CC4-4E26-99B9-4883713AED08},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1108120335506,42.3915518095186,"2942",,SW-CB-02775,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{2CD2E76E-E181-4E06-AD9A-80D3C7D6AFFA},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1182696566054,42.3931767019988,"2943",,SW-CB-02909,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{254E8089-AA77-4819-A44D-6347B097C0DC},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1022426875375,42.3778182592497,"2944",,SW-CB-02521,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{E500FC01-B7BF-4BB2-8F9A-49413A08D704},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1290340156419,42.4041837962413,"2945",,SW-CB-03079,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{01E23BF8-5B6C-4CA9-9379-0B0884D41DCB},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0868874177827,42.3771923302067,"2946","1",SW-CB-00573,1957/03/01 00:00:00,Proposed,Storm,NA,Somerv,DATA FROM SOMERVILLE HOUSING AUTHORITY,"9999",Unk,Unk,"9999",9999, ,9999,NA,,,CB-SD-574,"1",Original City Data,Yes,{48ECD11C-862B-486E-B456-D5C622F3D123},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1131440286572,42.3892484268141,"2947","1",SW-CB-00251,1887/12/03 00:00:00,Active,Storm,J-1,Somerv, ,"0",Unk,Unk,"9999",9999, ,9999,J-01,,,CB-SD-252,"1",Original City Data,Yes,{8C233DD1-A87D-4597-9D38-25DA40F8F7ED},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0995563724806,42.3880597880649,"2948",,SW-CB-02814,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{47B4927C-AA3E-422D-BC9B-30B9204B7A49},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1050604361439,42.3817348898147,"2949",,SW-CB-02623,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{BAECC06C-D5DB-444B-826C-946E30AF2909},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.118053188996,42.3878913535999,"2950",,SW-CB-00833,,,,,,,,,,,,,,,,,,,Stantec,Yes,{353CAF7C-6F18-476A-AA0E-A663738E1D9E},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1172085612007,42.4006773903432,"2951","1",SW-CB-00074,9999/09/09 00:00:00,Active,Storm,TB-007,Somerv, ,"9999",Unk,Unk,"9999",9999, ,9999,TB-007,,,CB-SD-75,"1",Original City Data,Yes,{ACF37497-5542-49F1-9D34-43487A05A7F7},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1213014368782,42.402037538641,"2952",,SW-CB-03430,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{81936E67-81FF-4FB3-AF86-FBD347534829},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0985663106247,42.3904266779209,"2953",,SW-CB-02642,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{E1402A2A-7497-4494-8C95-CACDAE13B2D5},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0896182303026,42.395425954019,"2954",,SW-CB-01922,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{9FB016DE-F423-4518-84DF-40B4B8E9532F},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1290230172081,42.4091809675363,"2955","1",SW-CB-00249,1916/12/15 00:00:00,Active,Storm,JJ-31,Somerv,CB CONNECTED TO DMH,"0",Unk,Unk,"9999",9999, ,9999,JJ-31,,,CB-SD-250,"1",Original City Data,Yes,{03F75FEA-7BD4-432E-B9B0-A2392249066B},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1231659662066,42.4005449588226,"2956",,SW-CB-03442,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{66AFF18C-7B4A-4B82-B4E8-370C84C651EC},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1287634043608,42.4075543350938,"2957","1",SW-CB-00167,1939/11/01 00:00:00,Active,Storm,PF-033,Somerv, ,"0",Unk,Unk,"9999",9999, ,9999,PF-033,,,CB-SD-168,"1",Original City Data,Yes,{F3BCDA4C-E969-427B-81D8-0125037AF027},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1307805527281,42.4116218767069,"2958",,SW-CB-03164,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{CCF4C935-999B-4AC0-9A60-ADE8B78C3BCD},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0979028258847,42.3899403373459,"2959",,SW-CB-02639,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{EC83D627-25B2-4D4E-8340-935680EB3390},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0896308350418,42.3837041110409,"2960",,SW-CB-01254,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{86A94254-FA79-4E4A-88E7-9D90127B4E81},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0980482973217,42.3843821212734,"2961",,SW-CB-00731,,,,,,,,,,,,,,,,,,,Stantec,Yes,{F2FA9558-D10D-4C03-B106-7774442AAB65},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
