FID,facilityid,inlettype,in_typ_ot,locdesc,ownedby,legacy_id,cvtype,cv_typ_ot,cvshape,cv_shp_ot,cvmaterial,cv_mat_ot,cvsize,oilhood,framemater,frm_mat_ot,chimney,chimydia,chimymater,chm_mat_ot,conetype,con_typ_ot,conemater,con_mat_ot,wallmat,wal_mat_ot,bench,benchmater,ben_mat_ot,channel,chanmater,chn_mat_ot,chanexposr,rimelev,inv_depth,invertelev,sump_depth,fin_depth,installdat,maintby,lastupdate,lasteditor,plans,comments,pt_geom_x_,pt_geom_y_,elevation,map_date,mapped_by,map_by_ot,map_method,map_met_ot,map_status,rotation,condition,flow,activeflag,enabled,operable,keyjnction,anclryrole,division,asset,st_cntr_id,Longitude,Latitude
2438,swIN-3728,Catchbasin, ,60 BEACON ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3,0,4.2,7.2,1/1/70 0:00,0,1/1/70 0:00, , , ,752544.3,2976735, ,6/27/18 0:00,Town, ,Aerial Photo, ,Final,-127.6714649, , ,0,0,0, ,0,HIGHWAY,Stormwater,973,-71.14309192,42.41575897
2442,swIN-3732,Catchbasin, ,119 WARREN ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2,0,1.1,3.1,1/1/70 0:00,0,1/1/70 0:00, , , ,751699.6086,2976369.195, ,6/27/18 0:00,Town, ,Aerial Photo, ,Final,35.09395789, , ,0,0,0, ,0,HIGHWAY,Stormwater,1362,-71.1462256,42.41476487
2444,swIN-3734,Catchbasin, ,7 MAYNARD ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.6,0,3,5.6,1/1/70 0:00,0,1/1/70 0:00, , , ,752391.5,2978797.7, ,6/27/18 0:00,Town, ,Aerial Photo, ,Final,-150.3494197, , ,0,0,0, ,0,HIGHWAY,Stormwater,682,-71.14362584,42.42142076
2449,swIN-3739,Catchbasin, ,150 WEBSTER ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.9,0,5,7.9,1/1/70 0:00,0,1/1/70 0:00, , , ,752654.4538,2977703.153, ,6/27/18 0:00,Town, ,Aerial Photo, ,Final,-121.5593213, , ,0,0,0, ,0,HIGHWAY,Stormwater,1360,-71.14266898,42.41841431
2453,swIN-3743,Catchbasin, ,176 MEDFORD ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3.24,0,3.26,6.5,1/1/70 0:00,0,1/1/70 0:00, , , ,752163.4,2978419.3, ,6/27/18 0:00,Town, ,Aerial Photo, ,Final,-138.7816031, , ,0,0,0, ,0,HIGHWAY,Stormwater,1604,-71.14447646,42.42038505
2454,swIN-3744,Catchbasin, ,30 GARDEN ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.6,0,3,3,1/1/70 0:00,0,1/1/70 0:00, , , ,750820.2,2977418.7, ,6/28/18 0:00,Town, ,Tablet, ,Final,-97.12744666, , ,0,0,0, ,0,HIGHWAY,Stormwater,1025,-71.1494662,42.41765467
2455,swIN-3745,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,4.4,4.4,1/1/70 0:00,0,1/1/70 0:00, , , ,750895.1907,2977590.267, ,6/28/18 0:00,Town, ,Tablet, ,Final,-54.10967559, , ,0,0,0, ,0,HIGHWAY,Stormwater,1043,-71.14918587,42.4181246
2456,swIN-3746,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,4,4,1/1/70 0:00,0,1/1/70 0:00, , , ,750971.5,2977780.5, ,6/28/18 0:00,Town, ,Tablet, ,Final,-84.46921919, , ,0,0,0, ,0,HIGHWAY,Stormwater,1020,-71.14890037,42.41864574
2457,swIN-3747,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.8,0,0.8,3.6,1/1/70 0:00,0,1/1/70 0:00, , , ,750893.1,2977818.3, ,6/28/18 0:00,Town, ,Tablet, ,Final,-95.72649861, , ,0,0,0, ,0,HIGHWAY,Stormwater,1023,-71.14919014,42.41875035
2458,swIN-3748,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.5,0,2.7,2.7,1/1/70 0:00,0,1/1/70 0:00, , , ,750940.2439,2979040.642, ,6/28/18 0:00,Town, ,Tablet, ,Final,-31.42991605, , ,0,0,0, ,0,HIGHWAY,Stormwater,1000,-71.14899691,42.42210391
