OBJECTID,AncillaryR,Enabled,Subtype,Administra,FacilityID,InstallDat,LocationDe,Operationa,Rotation,LifecycleS,WorkorderI,Elevation,ElevationS,WaterType,AccessDiam,AccessMate,AccesType,Invert,InvertElev,Source,Inline,LocationMe,Completed,Comment,WSE_GPS_ID,Owner,Latitude,Longitude
339,,1,1,,,,,,75.22923279,Active,,7.670000076,,Storm,24,Steel,Grate,,,AERIALS,,,,,478,CHELSEA,42.38881605,-71.02357884
340,,1,1,,,,,,78.24493408,Active,,8.489999771,,Storm,24,Steel,Grate,,,AERIALS,,,,,479,CHELSEA,42.38856522,-71.02346779
341,,1,1,,,,,,78.29100037,Active,,8.720000267,,Storm,24,Steel,Grate,,,AERIALS,,,,,480,CHELSEA,42.38853788,-71.02328802
342,,1,1,,,,,,77.47119141,Active,,9.680000305,,Storm,24,Steel,Grate,,,AERIALS,,,,,481,CHELSEA,42.38959731,-71.02296325
343,,1,1,,,,,,345.7354736,Active,,9.170000076,,Storm,24,Steel,Grate,,,AERIALS,,,,,482,CHELSEA,42.38780476,-71.02511628
344,,1,1,,,,,,343.810791,Active,,7.110000134,,Storm,24,Steel,Grate,,,AERIALS,,,,,483,CHELSEA,42.38756381,-71.02519619
345,,1,1,,,,,,0,Active,,9.220000267,,Storm,24,Steel,Grate,,,AERIALS,,,,,484,CHELSEA,42.38799208,-71.02696348
346,,1,1,,,,,,0,Active,,8.69,,Storm,24,Steel,Grate,,,,,DIGI,,,485,CHELSEA,42.38803532,-71.02686038
349,,1,1,,,,,,0,Active,,9.539999962,,Storm,24,Steel,Grate,,,AERIALS,,,,,486,CHELSEA,42.38776362,-71.02704481
350,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,487,CHELSEA,42.38767392,-71.02654545
351,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,488,CHELSEA,42.38760698,-71.02618557
352,,1,1,,,00:00.0,,,0,Active,,7.599999905,,Storm,24,Steel,Grate,,,AERIALS,,,,,489,CHELSEA,42.38778213,-71.02735279
353,,1,1,,,,,,317.2147522,Active,,14.72999954,,Storm,24,Steel,Grate,,,AERIALS,,,,,490,CHELSEA,42.38888877,-71.02600532
354,,1,1,,,,,,346.1593018,Active,,16.19000053,,Storm,24,Steel,Grate,,,AERIALS,,,,,491,CHELSEA,42.3889972,-71.0258489
355,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,492,CHELSEA,42.38838633,-71.02651152
356,,1,1,,,,,,345.3581238,Active,,9.350000381,,Storm,24,Steel,Grate,,,GPS,,,,,493,CHELSEA,42.38826072,-71.02618438
357,,1,1,,,,,,348.1297302,Active,,9.470000267,,Storm,24,Steel,Grate,,,AERIALS,,,,,494,CHELSEA,42.38815804,-71.02621722
358,,1,1,,,,,,346.759491,Active,,9.130000114,,Storm,24,Steel,Grate,,,AERIALS,,,,,495,CHELSEA,42.38774033,-71.0240543
359,,1,1,,,,,,347.79953,Active,,9.100000381,,Storm,24,Steel,Grate,,,AERIALS,,,,,496,CHELSEA,42.38783967,-71.02402277
360,,1,1,,,,,,347.2603455,Active,,9.06000042,,Storm,24,Steel,Grate,,,AERIALS,,,,,497,CHELSEA,42.38797739,-71.02473847
361,,1,1,,,,,,346.759491,Active,,8.970000267,,Storm,24,Steel,Grate,,,AERIALS,,,,,498,CHELSEA,42.38788008,-71.02478021
362,,1,1,,,,,,346.492157,Active,,9.699999809,,Storm,24,Steel,Grate,,,GPS,,,,,499,CHELSEA,42.38811777,-71.02546383
363,,1,1,,,,,,346.3041382,Active,,9.739999771,,Storm,24,Steel,Grate,,,GPS,,,,,500,CHELSEA,42.38801959,-71.02550077
364,,1,1,,,,,,25.55996513,Active,,32.52999878,,Storm,24,Steel,Grate,,,AERIALS,,,,,501,CHELSEA,42.38738255,-71.03437522
365,,1,1,,,,,,317.0901489,Active,,31.44000053,,Storm,24,Steel,Grate,,,AERIALS,,,,,502,CHELSEA,42.38737125,-71.03428215
366,,1,1,,,,,,289.2900391,Active,,30.67000008,,Storm,24,Steel,Grate,,,GPS,,,,,503,CHELSEA,42.38731686,-71.03439737
368,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,505,CHELSEA,42.38907828,-71.0288353
369,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,506,CHELSEA,42.38904142,-71.0286211
370,,1,1,,,,,,164.6115265,Active,,17.98999977,,Storm,24,Steel,Grate,,,AERIALS,,,,,507,CHELSEA,42.38867068,-71.02817349
371,,1,1,,,,,,346.701416,Active,,19.11000061,,Storm,24,Steel,Grate,,,GPS,,,,,508,CHELSEA,42.38865092,-71.02823677
372,,1,1,,,,,,165.0685883,Active,,19.22999954,,Storm,24,Steel,Grate,,,GPS,,,,,509,CHELSEA,42.3885474,-71.02822998
373,,1,1,,,,,,346.2469177,Active,,18.39999962,,Storm,24,Steel,Grate,,,AERIALS,,,,,510,CHELSEA,42.38885415,-71.02811614
