FID,OBJECTID,AncillaryR,Enabled,Subtype,FacilityID,InstallDat,Rotation,LifecycleS,WaterType,PlanNum,Owner,CatchArea,Comments,AccessDiam,AccessMate,AccesType,Station,RimElevati,FieldBook,Invert,x,y
554,580,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,21.3, ,17.3,-71.0880918921829,42.3800488629625
555,581,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,18.8, ,15.3,-71.0885474509099,42.3805464294718
556,582,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,18.9, ,15.5,-71.0884314746878,42.3805946044636
557,583,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,15.5, ,11.5,-71.0865009279805,42.3778955996278
558,584,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,14.8, ,9999,-71.0862409823025,42.3778517855719
559,585,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,14.7, ,4.7,-71.0862744970512,42.3777375694857
560,586,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,14.7, ,10.7,-71.0857983013898,42.3774054704717
561,587,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,14.71, ,10.7,-71.0859169403375,42.3773430124171
562,588,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,15.98, ,12,-71.085307221794,42.3768763763571
563,589,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,16.12, ,12.12,-71.0853596881271,42.3767505774947
