lon,lat,owner,watershed,type,form
-78.93524031540282,35.98164621884718,CITY-ROW,Sandy Creek,COMBO INLET,BOX
-78.93519146405788,35.98157674618311,CITY-ROW,Sandy Creek,COMBO INLET,BOX
-78.93524317098937,35.981499360257175,CITY-ROW,Sandy Creek,COMBO INLET,BOX
-78.92947474280547,35.98265670639872,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92855860267093,35.9821681787999,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92866617273414,35.982029787724784,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.9305308169606,35.98142671974369,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93043522598089,35.98139641973356,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93065108169765,35.97988352020101,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.9306075848214,35.97980319763035,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.9319558615799,35.98008616626556,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93205471969854,35.98004844861834,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93204106029361,35.980696290537196,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93196510171869,35.981072601411434,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.9318562425167,35.98106479389289,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.98344447901935,35.90172150709837,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98385231916023,35.90145299696068,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98261688173395,35.90283751799429,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.9843145747034,35.90124410636151,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98414639595127,35.90121139312069,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98444527907303,35.90107539097241,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98400137075939,35.90088613490793,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98392973990765,35.90096090388509,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98502069949207,35.90038679845186,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98510705850761,35.90045087340241,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.9860059481352,35.89968580598405,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.9850018345508,35.89887999162474,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.9853730819954,35.898647349897615,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.97756078427365,35.911377234034354,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95757308032566,35.949485164493346,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95769518798141,35.94953671566844,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95770217290797,35.948586181361684,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95780512850237,35.948562756437674,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.94908654248218,35.94485549159874,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.95092799785833,35.945167057209964,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.95107819339417,35.945178408239265,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.95565726719117,35.952815109463934,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95578931111443,35.952683267506295,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95194643025066,35.9495563730881,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.95209472122278,35.94937520278871,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.94834754759232,35.941443476992056,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.94837629695766,35.94154796306079,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.94788320935622,35.950761358010375,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.94841592292615,35.95127634234261,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.91953323038602,35.93465434977419,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92006870187089,35.934959800292376,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92053708066055,35.93517295541654,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92055977128146,35.93518233797278,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92048914756035,35.93527577755709,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92100815613261,35.93546349772296,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92185262583264,35.93576532134564,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92241906100759,35.93603026076265,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92250566223336,35.935935566544266,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92412413647222,35.93732293257238,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92402293495844,35.93738973523819,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92465845413447,35.937852584201174,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92434666802096,35.937554160881426,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92657750284242,35.93825785910825,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92709772618714,35.93829690569487,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92750669989321,35.93827157330671,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92732430745924,35.93809471332829,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92721009275503,35.93805939936063,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92815870792468,35.93834291761116,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92876790077963,35.93854716794623,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92901425409123,35.93867513624414,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93271937196785,35.93585783538681,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93232980288788,35.936284829404784,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93221334612565,35.93622471208445,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93166347085004,35.93674911113867,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.9317788109373,35.9368119205542,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93154260188238,35.93719133448582,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93147092755068,35.93714253236833,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93137164540114,35.937065006978045,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93113866504257,35.93725997831576,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.93123284472509,35.937339424019896,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92984353155994,35.93806753443247,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92989867985459,35.9381244870299,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
